"";".value.-0.999316374771297";".value.-0.894162562896351";".value.-0.789008751021404";".value.-0.683854939146458";".value.-0.578701127271511";".value.-0.473547315396565";".value.-0.368393503521618";".value.-0.263239691646672";".value.-0.158085879771725";".value.-0.0529320678967787";".value.0.0522217439781678";".value.0.157375555853114";".value.0.262529367728061";".value.0.367683179603007";".value.0.472836991477954";".value.0.5779908033529";".value.0.683144615227847";".value.0.788298427102793";".value.0.89345223897774";".value.0.998606050852686"
"1";-5,82300696529411;-5,66943471694511;-5,71017792923931;-5,11026622385179;-4,40789164182556;-2,34500821480061;-1,57457299382039;-1,17073151217841;-0,0202617192821892;0,336145780010234;0,584808964646334;1,10477500939445;1,54753447259446;1,88664666313478;3,11669105918077;3,91770844159432;4,50202868921539;4,47227676192279;3,78300832875038;3,9014936212906
"21";-0,843932509725151;0,238699524411305;0,310936133572612;0,224384266940898;0,169766344559011;0,408298328064784;0,188994550579469;0,231796329264897;0,306182621628279;0,176592903629492;0,224607824572088;0,244725771417558;-0,00552599737171501;-0,0101579023082523;-0,0668041701616655;-0,00926143843428072;-0,154942001586907;0,0635422572217129;-0,821593698357547;-0,9683426785954
"41";-0,736663013330169;0,310651800939289;0,273560026884941;0,346334248886867;0,292496052540579;0,411978137461925;0,0757361581802652;0,0647571224111939;0,11599773709094;0,0397366322138326;-0,00416284027073802;0,0110381294319062;-0,256164834984866;-0,356492528471194;-0,51176479326305;-0,526818829537743;-0,803530061437761;-0,586512819499946;-1,20492454213507;-1,10165484074619
"61";0,283868253388305;0,851255225839011;0,818464531998642;0,719408935899484;0,580982764422744;0,558163736310473;0,270315392410524;0,301937192755064;0,348959463637199;0,323512365889778;0,255301324143436;0,248062528498749;0,0832470074774538;-0,0594931650511614;-0,184119010283647;-0,157241045108372;-0,333381783196155;-0,048931474474897;-0,495507003095251;-0,740314463481862
"81";-8,30086126796972;-8,45965527623924;-7,45324767735467;-7,00194629640088;-6,3866120297117;-2,75711378451418;-1,65492672322809;-1,13540767595256;-0,346919666173863;0,291628860877662;1,02830641800486;2,27206410016048;3,38111399942279;4,23571584418666;5,52468441036624;7,01051523236378;8,109590152547;8,65501395621901;9,04205621245941;8,48261992070463
"101";-0,259823850791557;-0,104733015717548;0,070494999099364;-0,0398400794565473;-0,20735283204172;0,225083670486601;-0,0421602751002075;0,0359835286164609;0,0639958258038196;-0,0230003632368163;-0,0346429539493953;0,0879702415256305;0,100237526731298;0,0144045524041185;-0,185949891594268;-0,307268148424084;-0,517491335352362;-0,110459510779628;-0,452195371175509;-0,7341397820904
"121";1,85326319332222;2,9691392030498;2,71908382811819;2,67640188929268;1,95572222960676;1,14361921827897;0,499890144193228;0,297995539319715;0,029223290840707;-0,321869939742143;-1,08205392478229;-1,45289277283965;-1,96939921931258;-2,30033120467207;-2,61139685541904;-3,20379133751153;-3,63295044829639;-4,10219428030588;-4,64495176770041;-4,0581686867112
"141";1,74675509104748;2,63700489355211;2,53219334810888;2,47648994680748;1,94245975367861;1,23449911717985;0,713954981147861;0,517581334949621;0,0553411439019432;-0,297253279374127;-1,26276089241441;-1,69050144311528;-2,1881723778631;-2,84057445538172;-3,11479979292816;-3,84548278794266;-4,45711238689698;-4,93891373687767;-5,59247203828958;-5,41791742436541
"161";-11,7790920126472;-11,8147067431569;-10,653748433359;-9,88292162749773;-8,87536155841774;-4,74859416488937;-3,5042808356208;-2,71726260274242;-1,53984774431308;-0,709769120304451;-0,188122582913334;1,05983684891682;2,05928535923226;2,86300880400307;4,34261971938402;6,64743824900721;8,07378659879792;8,65525036820311;9,31343787358636;8,67298839968854
"181";-7,00455727069281;-6,79049879557882;-6,30591163950821;-5,63084230800445;-5,2735636778837;-2,68994242788021;-1,56819420709373;-1,08801461343138;0,186011894859066;0,842714045489033;1,71934981072573;2,82657780131638;3,67106988478747;4,22222129540507;5,46306770812639;7,53963249631434;8,43289429987382;9,09329463208145;9,4349818558136;8,68856697926245
"201";-0,701998827185139;0,0271943107249638;0,191044356613631;0,182526439405782;0,0541035943565917;0,480902935093684;0,318051559891855;0,382623174024033;0,231601602666856;0,0351834707459243;0,0812846491127899;0,126969901943074;-0,0130144376446825;-0,000399160007558907;-0,101967605723343;-0,144726959642967;-0,374494240112059;-0,171069190842248;-0,65809203507671;-0,88557633557256
"221";-8,66364815273284;-8,48738891883403;-7,59716882371432;-6,88725006195321;-6,50154601024356;-3,58358848956177;-2,21702802348405;-1,52348281807505;-0,111552412636812;0,636832723791896;1,69864752899278;2,93022441586643;3,84545681934578;4,41267476088616;5,7410768415636;8,1436518481364;9,46853368552646;10,620496019633;11,6158890120729;10,7535424880396
"241";2,79158490105839;4,21197744083264;3,62606630835251;3,38691460624339;2,59240922157226;1,59281276294416;0,812247237647313;0,25252964319352;-0,379780750931132;-0,715848616485602;-1,233710282799;-1,5588350557156;-1,95407389638102;-2,20898323963919;-2,38120545851769;-3,03812615661768;-3,68214415632268;-4,15747052791276;-6,01152474131474;-5,07033027766474
"261";-8,44919271088422;-8,73653742944314;-7,90469972501765;-7,47818550985608;-6,82359920950102;-3,53857191784736;-2,57093172450135;-2,06798801734578;-1,06537731216581;-0,210387748683809;0,543553972817691;1,84095902575344;2,7622000070751;3,86771601601348;5,35864137979907;7,28068854484582;8,53994970868357;9,15194281981033;9,48934854745679;8,8663939851585
"281";-5,57611337762978;-5,29263296018322;-5,32121981998488;-5,13781104104735;-4,47150051410054;-2,51675586568405;-2,14232147618828;-1,84306128861843;-0,869975413042579;-0,254851263456973;0,146939971406632;0,690113659171746;1,69719388397314;2,15191764952122;3,28662811844903;4,1180341660717;5,06192209313235;5,03011081527812;4,44188334674634;4,15737430903085
