"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title","FsizeD"
"1",0,"3","male",22,1,0,7.25,"S","Mr","small"
"2",1,"1","female",38,1,0,71.2833,"C","Mrs","small"
"3",1,"3","female",26,0,0,7.925,"S","Miss","singleton"
"4",1,"1","female",35,1,0,53.1,"S","Mrs","small"
"5",0,"3","male",35,0,0,8.05,"S","Mr","singleton"
"6",0,"3","male",32,0,0,8.4583,"Q","Mr","singleton"
"7",0,"1","male",54,0,0,51.8625,"S","Mr","singleton"
"8",0,"3","male",2,3,1,21.075,"S","Master","large"
"9",1,"3","female",27,0,2,11.1333,"S","Mrs","small"
"10",1,"2","female",14,1,0,30.0708,"C","Mrs","small"
"11",1,"3","female",4,1,1,16.7,"S","Miss","small"
"12",1,"1","female",58,0,0,26.55,"S","Miss","singleton"
"13",0,"3","male",20,0,0,8.05,"S","Mr","singleton"
"14",0,"3","male",39,1,5,31.275,"S","Mr","large"
"15",0,"3","female",14,0,0,7.8542,"S","Miss","singleton"
"16",1,"2","female",55,0,0,16,"S","Mrs","singleton"
"17",0,"3","male",2,4,1,29.125,"Q","Master","large"
"18",1,"2","male",28,0,0,13,"S","Mr","singleton"
"19",0,"3","female",31,1,0,18,"S","Mrs","small"
"20",1,"3","female",38,0,0,7.225,"C","Mrs","singleton"
"21",0,"2","male",35,0,0,26,"S","Mr","singleton"
"22",1,"2","male",34,0,0,13,"S","Mr","singleton"
"23",1,"3","female",15,0,0,8.0292,"Q","Miss","singleton"
"24",1,"1","male",28,0,0,35.5,"S","Mr","singleton"
"25",0,"3","female",8,3,1,21.075,"S","Miss","large"
"26",1,"3","female",38,1,5,31.3875,"S","Mrs","large"
"27",0,"3","male",21,0,0,7.225,"C","Mr","singleton"
"28",0,"1","male",19,3,2,263,"S","Mr","large"
"29",1,"3","female",30,0,0,7.8792,"Q","Miss","singleton"
"30",0,"3","male",25,0,0,7.8958,"S","Mr","singleton"
"31",0,"1","male",40,0,0,27.7208,"C","Rare Title","singleton"
"32",1,"1","female",52,1,0,146.5208,"C","Mrs","small"
"33",1,"3","female",17,0,0,7.75,"Q","Miss","singleton"
"34",0,"2","male",66,0,0,10.5,"S","Mr","singleton"
"35",0,"1","male",28,1,0,82.1708,"C","Mr","small"
"36",0,"1","male",42,1,0,52,"S","Mr","small"
"37",1,"3","male",20.5,0,0,7.2292,"C","Mr","singleton"
"38",0,"3","male",21,0,0,8.05,"S","Mr","singleton"
"39",0,"3","female",18,2,0,18,"S","Miss","small"
"40",1,"3","female",14,1,0,11.2417,"C","Miss","small"
"41",0,"3","female",40,1,0,9.475,"S","Mrs","small"
"42",0,"2","female",27,1,0,21,"S","Mrs","small"
"43",0,"3","male",32,0,0,7.8958,"C","Mr","singleton"
"44",1,"2","female",3,1,2,41.5792,"C","Miss","small"
"45",1,"3","female",19,0,0,7.8792,"Q","Miss","singleton"
"46",0,"3","male",19,0,0,8.05,"S","Mr","singleton"
"47",0,"3","male",33,1,0,15.5,"Q","Mr","small"
"48",1,"3","female",35,0,0,7.75,"Q","Miss","singleton"
"49",0,"3","male",26,2,0,21.6792,"C","Mr","small"
"50",0,"3","female",18,1,0,17.8,"S","Mrs","small"
"51",0,"3","male",7,4,1,39.6875,"S","Master","large"
"52",0,"3","male",21,0,0,7.8,"S","Mr","singleton"
"53",1,"1","female",49,1,0,76.7292,"C","Mrs","small"
"54",1,"2","female",29,1,0,26,"S","Mrs","small"
"55",0,"1","male",65,0,1,61.9792,"C","Mr","small"
